Time,PID,Tickets,Pass,Stride,Runtime
100,1,8,4,2,23
100,2,8,10,2,19
100,5,1,11280,1024,11
100,4,8,12,2,43
100,6,2,368,32,11
100,7,4,60,4,11
100,8,8,38,2,11
100,9,16,27,1,11
100,10,32,27,1,11
100,11,8,38,2,11
100,12,8,36,2,10
100,13,8,36,2,10
100,14,8,36,2,10
930,1,8,4,2,23
930,2,8,10,2,19
930,5,1,96272,1024,94
930,4,8,12,2,126
930,6,2,3024,32,94
930,7,4,392,4,94
930,8,8,204,2,94
930,9,16,110,1,94
930,10,32,110,1,94
930,11,8,204,2,94
930,12,8,202,2,93
930,13,8,202,2,93
930,14,8,202,2,93
1760,1,8,4,2,23
1760,2,8,10,2,19
1760,5,1,181264,1024,177
1760,4,8,12,2,209
1760,6,2,5680,32,177
1760,7,4,724,4,177
1760,8,8,370,2,177
1760,9,16,193,1,177
1760,10,32,193,1,177
1760,11,8,370,2,177
1760,12,8,368,2,176
1760,13,8,368,2,176
1760,14,8,368,2,176
2650,1,8,4,2,23
2650,2,8,10,2,19
2650,5,1,272400,1024,266
2650,4,8,12,2,298
2650,6,2,8528,32,266
2650,7,4,1080,4,266
2650,8,8,548,2,266
2650,9,16,282,1,266
2650,10,32,282,1,266
2650,11,8,548,2,266
2650,12,8,546,2,265
2650,13,8,546,2,265
2650,14,8,546,2,265
3480,1,8,4,2,23
3480,2,8,10,2,19
3480,5,1,357392,1024,349
3480,4,8,12,2,381
3480,6,2,11184,32,349
3480,7,4,1412,4,349
3480,8,8,714,2,349
3480,9,16,365,1,349
3480,10,32,365,1,349
3480,11,8,714,2,349
3480,12,8,712,2,348
3480,13,8,712,2,348
3480,14,8,712,2,348
4360,1,8,4,2,23
4360,2,8,10,2,19
4360,5,1,447504,1024,437
4360,4,8,12,2,469
4360,6,2,14000,32,437
4360,7,4,1764,4,437
4360,8,8,890,2,437
4360,9,16,453,1,437
4360,10,32,453,1,437
4360,11,8,890,2,437
4360,12,8,888,2,436
4360,13,8,888,2,436
4360,14,8,888,2,436
5190,1,8,4,2,23
5190,2,8,10,2,19
5190,5,1,532496,1024,520
5190,4,8,12,2,552
5190,6,2,16656,32,520
5190,7,4,2096,4,520
5190,8,8,1056,2,520
5190,9,16,536,1,520
5190,10,32,536,1,520
5190,11,8,1056,2,520
5190,12,8,1054,2,519
5190,13,8,1054,2,519
5190,14,8,1054,2,519
6050,1,8,4,2,23
6050,2,8,10,2,19
6050,5,1,620560,1024,606
6050,4,8,12,2,638
6050,6,2,19408,32,606
6050,7,4,2440,4,606
6050,8,8,1228,2,606
6050,9,16,622,1,606
6050,10,32,622,1,606
6050,11,8,1228,2,606
6050,12,8,1226,2,605
6050,13,8,1226,2,605
6050,14,8,1226,2,605
6880,1,8,4,2,23
6880,2,8,10,2,19
6880,5,1,705552,1024,689
6880,4,8,12,2,721
6880,6,2,22064,32,689
6880,7,4,2772,4,689
6880,8,8,1394,2,689
6880,9,16,705,1,689
6880,10,32,705,1,689
6880,11,8,1394,2,689
6880,12,8,1392,2,688
6880,13,8,1392,2,688
6880,14,8,1392,2,688
7760,1,8,4,2,23
7760,2,8,10,2,19
7760,5,1,795664,1024,777
7760,4,8,12,2,809
7760,6,2,24880,32,777
7760,7,4,3124,4,777
7760,8,8,1570,2,777
7760,9,16,793,1,777
7760,10,32,793,1,777
7760,11,8,1570,2,777
7760,12,8,1568,2,776
7760,13,8,1568,2,776
7760,14,8,1568,2,776
8640,1,8,4,2,23
8640,2,8,10,2,19
8640,5,1,885776,1024,865
8640,4,8,12,2,897
8640,6,2,27696,32,865
8640,7,4,3476,4,865
8640,8,8,1746,2,865
8640,9,16,881,1,865
8640,10,32,881,1,865
8640,11,8,1746,2,865
8640,12,8,1744,2,864
8640,13,8,1744,2,864
8640,14,8,1744,2,864
9470,1,8,4,2,23
9470,2,8,10,2,19
9470,5,1,970768,1024,948
9470,4,8,12,2,980
9470,6,2,30352,32,948
9470,7,4,3808,4,948
9470,8,8,1912,2,948
9470,9,16,964,1,948
9470,10,32,964,1,948
9470,11,8,1912,2,948
9470,12,8,1910,2,947
9470,13,8,1910,2,947
9470,14,8,1910,2,947
10350,1,8,4,2,23
10350,2,8,10,2,19
10350,5,1,1060880,1024,1036
10350,4,8,12,2,1068
10350,6,2,33168,32,1036
10350,7,4,4160,4,1036
10350,8,8,2088,2,1036
10350,9,16,1052,1,1036
10350,10,32,1052,1,1036
10350,11,8,2088,2,1036
10350,12,8,2086,2,1035
10350,13,8,2086,2,1035
10350,14,8,2086,2,1035
11180,1,8,4,2,23
11180,2,8,10,2,19
11180,5,1,1145872,1024,1119
11180,4,8,12,2,1151
11180,6,2,35824,32,1119
11180,7,4,4492,4,1119
11180,8,8,2254,2,1119
11180,9,16,1135,1,1119
11180,10,32,1135,1,1119
11180,11,8,2254,2,1119
11180,12,8,2252,2,1118
11180,13,8,2252,2,1118
11180,14,8,2252,2,1118
12060,1,8,4,2,23
12060,2,8,10,2,19
12060,5,1,1235984,1024,1207
12060,4,8,12,2,1239
12060,6,2,38640,32,1207
12060,7,4,4844,4,1207
12060,8,8,2430,2,1207
12060,9,16,1223,1,1207
12060,10,32,1223,1,1207
12060,11,8,2430,2,1207
12060,12,8,2428,2,1206
12060,13,8,2428,2,1206
12060,14,8,2428,2,1206
12890,1,8,4,2,23
12890,2,8,10,2,19
12890,5,1,1320976,1024,1290
12890,4,8,12,2,1322
12890,6,2,41296,32,1290
12890,7,4,5176,4,1290
12890,8,8,2596,2,1290
12890,9,16,1306,1,1290
12890,10,32,1306,1,1290
12890,11,8,2596,2,1290
12890,12,8,2594,2,1289
12890,13,8,2594,2,1289
12890,14,8,2594,2,1289
13770,1,8,4,2,23
13770,2,8,10,2,19
13770,5,1,1411088,1024,1378
13770,4,8,12,2,1410
