Time,PID,Tickets,Pass,Stride,Runtime
100,1,8,512,128,23
100,2,8,448,128,21
100,6,1,132084,1024,1
100,5,8,131508,128,69
100,7,2,132084,512,2
100,8,4,131828,256,3
100,9,8,131700,128,5
100,10,16,131700,64,10
100,11,32,131708,32,18
100,12,32,131676,32,17
100,13,32,131676,32,17
100,14,32,131676,32,17
100,15,32,131676,32,17
228,1,8,512,128,23
228,2,8,448,128,21
228,6,1,133108,1024,2
228,5,8,131742,128,197
228,7,2,132596,512,3
228,8,4,132596,256,6
228,9,8,132468,128,11
228,10,16,132404,64,21
228,11,32,132380,32,39
228,12,32,132380,32,39
228,13,32,132348,32,38
228,14,32,132348,32,38
228,15,32,132348,32,38
362,1,8,512,128,23
362,2,8,448,128,21
362,6,1,133108,1024,2
362,5,8,131994,128,331
362,7,2,133108,512,4
362,8,4,133108,256,8
362,9,8,133108,128,16
362,10,16,133108,64,32
362,11,32,133116,32,62
362,12,32,133116,32,62
362,13,32,133084,32,61
362,14,32,133084,32,61
362,15,32,133084,32,61
490,1,8,512,128,23
490,2,8,448,128,21
490,6,1,134132,1024,3
490,5,8,132228,128,459
490,7,2,134132,512,6
490,8,4,133876,256,11
490,9,8,133876,128,22
490,10,16,133812,64,43
490,11,32,133788,32,83
490,12,32,133788,32,83
490,13,32,133756,32,82
490,14,32,133756,32,82
490,15,32,133756,32,82
623,1,8,512,128,23
623,2,8,448,128,21
623,6,1,135156,1024,4
623,5,8,132477,128,592
623,7,2,134644,512,7
623,8,4,134644,256,14
623,9,8,134516,128,27
623,10,16,134516,64,54
623,11,32,134492,32,105
623,12,32,134492,32,105
623,13,32,134492,32,105
623,14,32,134492,32,105
623,15,32,134460,32,104
751,1,8,512,128,23
751,2,8,448,128,21
751,6,1,136180,1024,5
751,5,8,132711,128,720
751,7,2,135668,512,9
751,8,4,135412,256,17
751,9,8,135284,128,33
751,10,16,135156,64,64
751,11,32,135164,32,126
751,12,32,135164,32,126
751,13,32,135164,32,126
751,14,32,135164,32,126
751,15,32,135164,32,126
884,1,8,512,128,23
884,2,8,448,128,21
884,6,1,136180,1024,5
884,5,8,132960,128,853
884,7,2,136180,512,10
884,8,4,135924,256,19
884,9,8,135924,128,38
884,10,16,135924,64,76
884,11,32,135900,32,149
884,12,32,135900,32,149
884,13,32,135900,32,149
884,14,32,135868,32,148
884,15,32,135868,32,148
1017,1,8,512,128,23
1017,2,8,448,128,21
1017,6,1,137204,1024,6
1017,5,8,133209,128,986
1017,7,2,136692,512,11
1017,8,4,136692,256,22
1017,9,8,136692,128,44
1017,10,16,136628,64,87
1017,11,32,136604,32,171
1017,12,32,136604,32,171
1017,13,32,136604,32,171
1017,14,32,136604,32,171
1017,15,32,136572,32,170
1145,1,8,512,128,23
1145,2,8,448,128,21
1145,6,1,138228,1024,7
1145,5,8,133443,128,1114
1145,7,2,137716,512,13
1145,8,4,137460,256,25
1145,9,8,137332,128,49
1145,10,16,137332,64,98
1145,11,32,137276,32,192
1145,12,32,137276,32,192
1145,13,32,137276,32,192
1145,14,32,137276,32,192
1145,15,32,137276,32,192
1278,1,8,512,128,23
1278,2,8,448,128,21
1278,6,1,138228,1024,7
1278,5,8,133692,128,1247
1278,7,2,138228,512,14
1278,8,4,138228,256,28
1278,9,8,138100,128,55
